Date,Open,High,Low,Close,Adj Close,Volume
2014-06-09,263.950012,263.950012,263.950012,263.950012,190.883224,0
2014-06-10,263.350006,263.500000,263.350006,263.500000,190.557770,0
2014-06-11,263.149994,263.149994,263.100006,263.100006,190.268509,100
2014-06-12,263.500000,263.500000,262.950012,262.950012,190.160049,100
2014-06-13,263.450012,263.450012,259.850006,259.850006,187.918198,100
2014-06-16,260.899994,260.899994,260.899994,260.899994,188.677490,0
2014-06-17,262.799988,262.799988,261.149994,261.149994,188.858322,0
2014-06-18,263.950012,263.950012,262.100006,262.100006,189.545349,600
2014-06-19,262.100006,262.100006,262.100006,262.100006,189.545349,0
2014-06-20,263.600006,263.600006,263.600006,263.600006,190.630096,100
2014-06-23,263.700012,264.049988,261.899994,264.049988,190.955521,0
2014-06-24,262.600006,262.600006,262.399994,262.399994,189.762299,200
2014-06-25,257.750000,260.149994,257.750000,258.730011,187.108246,300
2014-06-26,255.699997,259.149994,255.699997,259.149994,187.411957,3200
2014-06-27,257.220001,258.100006,257.220001,258.100006,186.652634,300
2014-06-30,258.100006,258.100006,258.100006,258.100006,186.652634,0
2014-07-01,259.700012,259.700012,259.100006,259.100006,187.375809,0
2014-07-02,259.100006,259.100006,259.100006,259.100006,187.375809,0
2014-07-03,261.149994,261.149994,261.149994,261.149994,188.858322,0
2014-07-07,261.149994,261.149994,261.149994,261.149994,188.858322,0
2014-07-08,261.149994,261.149994,261.149994,261.149994,188.858322,0
2014-07-09,252.330002,252.330002,249.399994,249.399994,180.360947,0
2014-07-10,249.399994,249.399994,249.399994,249.399994,180.360947,0
2014-07-11,251.839996,252.250000,251.839996,252.250000,182.422028,100
2014-07-14,254.500000,254.500000,254.250000,254.250000,183.868378,100
2014-07-15,254.250000,254.250000,254.250000,254.250000,183.868378,0
2014-07-16,256.950012,256.950012,256.299988,256.299988,185.350876,0
2014-07-17,256.299988,256.299988,256.299988,256.299988,185.350876,0
2014-07-18,248.979996,248.979996,248.979996,248.979996,180.057220,0
2014-07-21,245.000000,245.750000,245.000000,245.750000,177.721359,100
2014-07-22,245.000000,246.449997,244.509995,246.000000,177.902145,300
2014-07-23,246.399994,246.399994,246.050003,246.050003,177.938293,100
2014-07-24,245.300003,245.300003,245.300003,245.300003,177.395920,0
2014-07-25,242.800003,242.800003,242.350006,242.649994,175.479492,2200
2014-07-28,235.339996,237.500000,235.339996,237.500000,171.755112,100
2014-07-29,236.690002,236.690002,236.690002,236.690002,171.169342,0
2014-07-30,235.979996,235.979996,233.149994,233.800003,169.079361,400
2014-07-31,232.600006,232.600006,232.600006,232.600006,168.211548,200
2014-08-01,227.729996,227.729996,227.729996,227.729996,164.689667,100
2014-08-04,227.729996,227.729996,227.729996,227.729996,164.689667,0
2014-08-05,225.550003,225.550003,225.000000,225.000000,162.715378,100
2014-08-06,219.009995,221.199997,219.009995,221.199997,159.967270,100
2014-08-07,221.199997,221.199997,221.199997,221.199997,159.967270,0
2014-08-08,221.199997,221.199997,221.199997,221.199997,159.967270,0
2014-08-11,225.699997,225.699997,225.300003,225.300003,162.932327,0
2014-08-12,223.399994,223.399994,222.250000,223.000000,161.269012,500
2014-08-13,226.250000,226.250000,224.500000,224.500000,162.353790,0
2014-08-14,224.500000,224.500000,224.500000,224.500000,162.353790,0
2014-08-15,219.850006,224.179993,219.850006,221.899994,160.473511,0
2014-08-18,221.899994,221.899994,221.899994,221.899994,160.473511,0
2014-08-19,227.300003,227.300003,227.300003,227.300003,164.378708,100
2014-08-20,225.750000,227.750000,225.750000,227.750000,164.704132,100
2014-08-21,227.750000,227.750000,227.750000,227.750000,164.704132,0
2014-08-22,229.500000,229.500000,228.699997,228.699997,165.391144,3700
2014-08-25,229.600006,230.100006,229.600006,229.750000,166.150467,100
2014-08-26,229.899994,230.850006,229.899994,230.100006,166.403580,100
2014-08-27,230.100006,230.750000,230.100006,230.750000,166.873657,100
2014-08-28,226.050003,226.449997,226.050003,226.449997,163.764008,0
2014-08-29,223.850006,224.600006,223.850006,224.600006,162.426117,0
2014-09-02,226.850006,226.850006,224.050003,224.050003,162.028366,200
2014-09-03,228.600006,229.199997,228.600006,229.199997,165.752716,0
2014-09-04,229.399994,229.399994,229.399994,229.399994,165.897354,100
2014-09-05,232.800003,233.910004,231.100006,231.720001,167.575134,500
2014-09-08,230.300003,231.449997,228.169998,229.399994,165.897354,100
2014-09-09,225.850006,229.449997,225.850006,229.449997,165.933517,2700
2014-09-10,225.800003,225.800003,225.800003,225.800003,163.293900,0
2014-09-11,227.449997,227.449997,227.449997,227.449997,164.487152,200
2014-09-12,226.250000,226.250000,226.250000,226.250000,163.619339,0
2014-09-15,226.050003,226.050003,226.050003,226.050003,163.474716,100
2014-09-16,224.399994,226.699997,224.399994,226.699997,163.944778,200
2014-09-17,226.000000,226.500000,224.000000,224.000000,161.992188,100
2014-09-18,225.089996,225.100006,225.050003,225.050003,162.751556,7600
2014-09-19,225.250000,225.250000,224.949997,224.949997,162.679214,0
2014-09-22,221.899994,223.100006,221.899994,223.100006,161.341339,100
2014-09-23,219.100006,219.100006,215.899994,215.899994,156.134430,100
2014-09-24,217.850006,217.850006,217.649994,217.649994,157.400009,100
